iter	Passed	Remaining
403	9471	13972
404	9497	13953
405	9530	13944
406	9560	13930
407	9590	13915
408	9614	13893
409	9640	13872
410	9665	13852
411	9690	13830
412	9714	13807
413	9736	13781
414	9761	13759
415	9782	13733
416	9806	13710
417	9837	13697
418	9863	13677
419	9892	13660
420	9920	13644
421	9949	13627
422	9976	13608
423	10004	13590
424	10030	13570
425	10056	13549
426	10082	13530
427	10113	13516
428	10140	13497
429	10168	13478
430	10194	13458
431	10218	13435
432	10246	13416
433	10272	13396
434	10302	13380
435	10328	13360
436	10353	13338
437	10381	13320
438	10406	13298
439	10434	13280
440	10466	13267
441	10494	13248
442	10529	13239
443	10563	13228
444	10593	13212
445	10623	13196
446	10651	13176
447	10689	13170
448	10713	13146
449	10738	13124
450	10762	13101
451	10787	13078
452	10809	13053
453	10835	13031
454	10859	13007
455	10882	12982
456	10907	12959
457	10933	12939
458	10961	12919
459	10986	12896
460	11007	12869
461	11028	12842
462	11049	12815
463	11072	12790
464	11091	12761
465	11111	12732
466	11131	12704
467	11151	12676
468	11174	12651
469	11192	12621
470	11212	12593
471	11233	12566
472	11254	12538
473	11276	12513
474	11301	12491
475	11324	12466
476	11347	12441
477	11367	12413
478	11386	12385
479	11408	12359
480	11428	12331
481	11449	12304
482	11468	12275
483	11493	12253
484	11518	12231
485	11545	12210
486	11571	12189
487	11593	12163
488	11614	12137
489	11634	12109
490	11655	12082
491	11676	12056
492	11699	12031
493	11721	12006
494	11743	11980
495	11765	11955
496	11786	11929
497	11806	11901
498	11826	11873
499	11849	11849
500	11870	11822
501	11890	11796
502	11913	11771
503	11936	11746
504	11958	11721
505	11977	11693
506	12000	11668
507	12020	11641
508	12040	11614
509	12061	11588
510	12082	11561
511	12102	11535
512	12123	11508
513	12144	11482
514	12167	11458
515	12190	11434
516	12213	11409
517	12235	11385
518	12258	11361
519	12282	11337
520	12304	11312
521	12326	11287
522	12348	11262
523	12370	11236
524	12392	11212
525	12412	11185
526	12432	11158
527	12454	11133
528	12481	11113
529	12506	11090
530	12532	11069
